Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOwin,FOloss,FO%,HIT,BLK,TK,GV,Awards
Career,,,NHL,760,475,420,895,57,514,295,176,4,80,240,179,1,3830,12.4,6203,16270,21:24,41,73,36.0,1681,233,383,515,
Career,,,NHL,432,174,227,401,-40,205,117,57,0,31,137,89,1,1343,13.0,2307,8630,19:59,3796,3716,50.5,194,152,403,402,
Career,,,NHL,531,124,248,372,17,263,91,33,0,14,172,76,0,1213,10.2,2143,8674,16:20,45,72,38.5,288,123,215,217,
Career,,,NHL,397,84,219,303,-20,202,62,21,1,15,115,103,1,1183,7.1,2380,9938,25:02,0,1,0.0,360,391,299,440,
Career,,,NHL,366,57,170,227,31,457,24,33,0,9,99,70,1,906,6.3,1842,8867,24:14,0,0,,499,537,130,384,
Career,,,NHL,435,426,223,153,50,1041,12899,11858,.919,2.44,34,25647,253,.594,54,,,88.7,0,11,11,39,
Career,,,NHL,426,151,208,359,19,320,115,28,8,25,150,52,6,1204,12.5,2196,7735,18:09,1567,1661,48.5,753,273,378,269,
Career,,,NHL,627,302,551,853,129,510,208,91,3,37,312,234,5,2093,14.4,3101,13203,21:03,5402,4830,52.8,368,229,252,375,
Career,,,NHL,179,66,69,135,48,57,50,16,0,10,55,14,0,475,13.9,922,2838,15:51,3,7,30.0,82,34,81,45,
Career,,,NHL,524,66,201,267,38,403,36,30,0,16,111,88,2,1085,6.1,2416,13494,25:45,0,1,0.0,964,641,140,484,
Career,,,NHL,685,146,246,392,55,541,75,66,5,23,149,95,2,1863,7.8,3506,16352,23:52,0,0,,1307,908,255,338,
Career,,,NHL,231,214,97,91,26,583,6764,6181,.914,2.69,14,13020,114,.533,33,,,41.4,0,3,3,10,
Career,,,NHL,426,151,208,359,19,320,115,28,8,25,150,52,6,1204,12.5,2196,7735,18:09,1567,1661,48.5,753,273,378,269,
Career,,,NHL,627,302,551,853,129,510,208,91,3,37,312,234,5,2093,14.4,3101,13203,21:03,5402,4830,52.8,368,229,252,375,
Career,,,NHL,760,475,420,895,57,514,295,176,4,80,240,179,1,3830,12.4,6203,16270,21:24,41,73,36.0,1681,233,383,515,
Career,,,NHL,366,57,170,227,31,457,24,33,0,9,99,70,1,906,6.3,1842,8867,24:14,0,0,,499,537,130,384,
Career,,,NHL,749,52,299,351,67,502,33,18,1,9,169,124,6,1217,4.3,2412,18221,24:20,1,3,25.0,483,813,258,310,
Career,,,NHL,230,220,125,71,24,547,6711,6164,.918,2.51,11,13079,133,.605,23,,,44.5,0,5,5,8,
Career,,,NHL,760,475,420,895,57,514,295,176,4,80,240,179,1,3830,12.4,6203,16270,21:24,41,73,36.0,1681,233,383,515,
Career,,,NHL,565,223,283,506,171,293,157,56,10,43,186,85,12,1487,15.0,2211,11182,19:48,6016,4566,56.9,341,166,479,185,
Career,,,NHL,1134,391,642,1033,37,310,261,101,29,66,409,216,17,2884,13.6,4106,23112,20:23,287,388,42.5,184,343,471,447,
Career,,,NHL,673,60,159,219,23,394,42,18,0,11,107,48,4,1154,5.2,2134,16336,24:16,5,4,55.6,782,1015,204,397,
Career,,,NHL,491,66,219,285,46,340,39,24,3,14,126,91,2,1166,5.7,2297,11154,22:43,1,2,33.3,775,719,194,360,
Career,,,NHL,620,494,339,208,65,1381,17398,16017,.921,2.26,55,36617,303,.613,56,,,126.2,0,17,17,12,
Career,,,NHL,816,417,399,816,-116,516,269,138,10,60,217,177,5,2967,14.1,4280,17931,21:58,54,109,33.1,180,102,226,491,
Career,,,NHL,587,268,434,702,56,584,167,97,4,44,259,174,1,2095,12.8,3512,12039,20:31,2304,2941,43.9,311,203,405,451,
Career,,,NHL,480,184,168,352,29,406,126,57,1,29,118,49,1,1508,12.2,2693,8553,17:49,55,115,32.4,820,170,292,172,
Career,,,NHL,397,84,219,303,-20,202,62,21,1,15,115,103,1,1183,7.1,2380,9938,25:02,0,1,0.0,360,391,299,440,
Career,,,NHL,685,146,246,392,55,541,75,66,5,23,149,95,2,1863,7.8,3506,16352,23:52,0,0,,1307,908,255,338,
Career,,,NHL,620,494,339,208,65,1381,17398,16017,.921,2.26,55,36617,303,.613,56,,,126.2,0,17,17,12,
Career,,,NHL,1330,385,679,1064,-79,465,268,112,5,45,365,311,3,3040,12.7,3993,19249,18:17,74,112,39.8,145,131,281,267,
Career,,,NHL,492,276,222,498,2,316,180,94,2,39,141,81,0,1602,17.2,2931,9721,19:46,2821,3134,47.4,536,195,260,267,
Career,,,NHL,879,374,377,751,103,430,264,103,7,65,235,139,3,2862,13.1,3848,16062,18:16,10,31,24.4,317,150,189,255,
